section_id,circle,section,queries_tried,geocode_status,query_used,n_candidates,lat,lon,osm_name,osm_category,osm_type,osm_place_rank,osm_importance,other_candidates
CYBERCITY_K_P_H_B_COLONY,CYBERCITY,K P H B COLONY,1,found,"K P H B Colony, Hyderabad, Telangana",1.0,17.4582681,78.5648135,"A.P.H.B Colony Main Road, Mangapuram Colony, Ward 4 Meerpet H.B Colony, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500040, India",highway,tertiary,26.0,0.05340169604028378,[]
CYBERCITY_MOKILA,CYBERCITY,MOKILA,2,found,"Mokila, Telangana",1.0,17.4263216,78.1880987,"Mokila, Shankarpalle mandal, Ranga Reddy, Telangana, India",place,village,19.0,0.14670416800183103,[]
CYBERCITY_NALLAGANDLA,CYBERCITY,NALLAGANDLA,1,found,"Nallagandla, Hyderabad, Telangana",2.0,17.4774828,78.3060359,"Nallagandla, Chandanagar, Lingampally, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500019, India",place,neighbourhood,24.0,0.08006836270695046,"[{""name"": ""Nallagandla Chervu, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, India"", ""lat"": ""17.4689276"", ""lon"": ""78.3154189""}]"
CYBERCITY_NARSINGI,CYBERCITY,NARSINGI,2,found,"Narsingi, Telangana",1.0,17.3915187,78.3598924,"Narsingi, Manchirevula, Gandipet mandal, Ranga Reddy, Telangana, 500089, India",place,suburb,19.0,0.36760675791195535,[]
CYBERCITY_SHANKAR_PALLY,CYBERCITY,SHANKAR PALLY,2,not_found,,,,,,,,,,
CYBERCITY_TARANAGAR,CYBERCITY,TARANAGAR,1,found,"Taranagar, Hyderabad, Telangana",3.0,17.4926497,78.3184691,"Taranagar, Ward 110 Chandanagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500050, India",place,neighbourhood,24.0,0.08006836270695046,"[{""name"": ""Taranagar, Old Bombay Road, Sivaji Nagar, Ward 110 Chandanagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500019, India"", ""lat"": ""17.4895282"", ""lon"": ""78.3193095""}, {""name"": ""Taranagar, Tuljabhavani street, Taranagar, Chandanagar, Lingampally, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500019, India"", ""lat"": ""17.4904133"", ""lon"": ""78.3169547""}]"
CYBERCITY_VASANTH_NAGAR,CYBERCITY,VASANTH NAGAR,1,found,"Vasanth Nagar, Hyderabad, Telangana",1.0,17.4938648,78.3862078,"Vasanth Nagar, Ward 114 KPHB Colony, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 500085, India",place,neighbourhood,24.0,0.08006836270695046,[]
CYBERCITY_WHITE_FIELD,CYBERCITY,WHITE FIELD,3,found,"Whitefields Kondapur, Hyderabad, Telangana",1.0,17.4543363,78.36589,"Whitefields, Kothaguda, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India",place,neighbourhood,24.0,0.08006836270695046,[]
HABSIGUDA_A_S_RAO_NAGAR,HABSIGUDA,A S RAO NAGAR,1,found,"A S Rao Nagar, Hyderabad, Telangana",1.0,17.4799497,78.5568336,"A.S. Rao Nagar, Sainikpuri-ECIL Main Road, Vijayapuri, Ward 2 Dr A S Rao Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500062, India",highway,bus_stop,30.0,6.836270695043896e-05,[]
HABSIGUDA_BODUPPAL,HABSIGUDA,BODUPPAL,1,found,"Boduppal, Hyderabad, Telangana",3.0,17.3988408,78.5366218,"Boduppal-IV, Satyanarayana Swamy Temple Road, Nehru Nagar, Ward 9 Ramanthapur, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500013, India",amenity,childcare,30.0,6.836270695043896e-05,"[{""name"": ""Bangaru Maisamma Temple, Boduppal, Near Municipalty Office, Boduppal Road, Sri Lakshmi Nagar Colony, Boduppal, Hyderabad, Medipally mandal, Medchal\u2013Malkajgiri, Telangana, 500092, India"", ""lat"": ""17.4206252"", ""lon"": ""78.5852335""}, {""name"": ""Municipality Office Boduppal, Bayyanna Nagar, Boduppal Road, Sri Lakshmi Nagar Colony, Boduppal, Hyderabad, Medipally mandal, Medchal\u2013Malkajgiri, Telangana, 500092, India"", ""lat"": ""17.4199886"", ""lon"": ""78.5846351""}]"
HABSIGUDA_CHERLAPALLY_I,HABSIGUDA,CHERLAPALLY-I,1,found,"Cherlapally-I, Hyderabad, Telangana",1.0,17.4687455,78.6024858,"Cherlapally, Ward 3 Cherlapally, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500083, India",place,suburb,19.0,0.3678453393566702,[]
HABSIGUDA_CHERLAPALLY_II,HABSIGUDA,CHERLAPALLY-II,1,found,"Cherlapally-Ii, Hyderabad, Telangana",1.0,17.4687455,78.6024858,"Cherlapally, Ward 3 Cherlapally, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500083, India",place,suburb,19.0,0.3678453393566702,[]
HABSIGUDA_CHILKANAGAR,HABSIGUDA,CHILKANAGAR,1,found,"Chilkanagar, Hyderabad, Telangana",3.0,17.4223943,78.5636233,"Chilkanagar Main Road, Dharmapuri Colony, Uppal, Ward 7 Chilka Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500039, India",highway,secondary,26.0,0.05340169604028378,"[{""name"": ""Chilkanagar Main Road, Beerappaguda, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500039, India"", ""lat"": ""17.4061835"", ""lon"": ""78.5645628""}, {""name"": ""Chilkanagar-II (Ward no-7), Chilkanagar Main Road, Dharmapuri Colony, Uppal, Ward 7 Chilka Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500039, India"", ""lat"": ""17.4204471"", ""lon"": ""78.5619450""}]"
HABSIGUDA_GHATKESAR,HABSIGUDA,GHATKESAR,2,found,"Ghatkesar, Telangana",1.0,17.4510837,78.6843022,"Ghatkesar mandal, Medchal–Malkajgiri, Telangana, India",boundary,administrative,12.0,0.37441119788714866,[]
HABSIGUDA_HABSIGUDA,HABSIGUDA,HABSIGUDA,1,found,"Habsiguda, Hyderabad, Telangana",2.0,17.4154761,78.5426918,"Habsiguda, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500007, India",place,suburb,19.0,0.3668857539234569,"[{""name"": ""Habsiguda, Habsiguda Main Road, Kakatiya Nagar, Habsiguda, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500007, India"", ""lat"": ""17.4201800"", ""lon"": ""78.5405480""}]"
HABSIGUDA_KEESARA,HABSIGUDA,KEESARA,2,found,"Keesara, Telangana",1.0,17.5249309,78.6665345,"Keesara, Keesara mandal, Medchal–Malkajgiri, Telangana, 501303, India",place,town,18.0,0.3697233328141787,[]
HABSIGUDA_KUSHAIGUDA,HABSIGUDA,KUSHAIGUDA,1,found,"Kushaiguda, Hyderabad, Telangana",1.0,17.4825451,78.5726444,"Kushaiguda, Ward 3 Cherlapally, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500062, India",place,suburb,19.0,0.3649233439058235,[]
HABSIGUDA_MALKAJGIRI,HABSIGUDA,MALKAJGIRI,1,found,"Malkajgiri, Hyderabad, Telangana",2.0,17.4511764,78.5368997,"Malkajgiri, Hyderabad, Malkajgiri mandal, Medchal–Malkajgiri, Telangana, 500017, India",place,town,18.0,0.16006836270695046,"[{""name"": ""Malkajgiri, street number 16, Mallikarjuna Nagar, Ward 141 Gautham Nagar, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal\u2013Malkajgiri, Telangana, 500017, India"", ""lat"": ""17.4483438"", ""lon"": ""78.5289727""}]"
HABSIGUDA_MALLAPUR,HABSIGUDA,MALLAPUR,1,found,"Mallapur, Hyderabad, Telangana",1.0,17.4405369,78.5788551,"Mallapur, Ward 5 Mallapur, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500076, India",place,neighbourhood,24.0,0.32221217881594816,[]
HABSIGUDA_MEDIPALLY,HABSIGUDA,MEDIPALLY,1,found,"Medipally, Hyderabad, Telangana",1.0,17.4158985,78.6018454,"Shanthi Vanam Medipally Park, Medpally, Chengicherla, Medipally mandal, Hyderabad, Telangana, 500098, India",leisure,park,24.0,0.08005369878690773,[]
HABSIGUDA_MOULAALI,HABSIGUDA,MOULAALI,3,found,"Moula Ali, Hyderabad, Telangana",2.0,17.46171,78.5571396,"Moula Ali, Ward 138 Moula Ali, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal–Malkajgiri, Telangana, 500040, India",place,suburb,19.0,0.1467350293736171,"[{""name"": ""Moula Ali, Maula Ali Flyover, Ambedkar Nagar, Ward 139 East Anand Bagh, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal\u2013Malkajgiri, Telangana, 500076, India"", ""lat"": ""17.4407394"", ""lon"": ""78.5506697""}]"
HABSIGUDA_NACHARAM,HABSIGUDA,NACHARAM,1,found,"Nacharam, Hyderabad, Telangana",1.0,17.4284936,78.5528098,"Nacharam, Ward 6 Nacharam, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500076, India",place,suburb,19.0,0.1467350293736171,[]
HABSIGUDA_NAGARAM,HABSIGUDA,NAGARAM,1,found,"Nagaram, Hyderabad, Telangana",1.0,17.4910113,78.613677,"Nagaram sarpanch house, Rampally Main Road, Nagaram, Hyderabad, Keesara mandal, Medchal–Malkajgiri, Telangana, 500083, India",building,house,30.0,5.36987869077137e-05,[]
HABSIGUDA_NARAPALLY,HABSIGUDA,NARAPALLY,1,found,"Narapally, Hyderabad, Telangana",2.0,17.4249113,78.6202968,"Narapally - ii, Hyderabad-Janagam Highway, Peerzadiguda, Ghatkesar mandal, Medipally mandal, Medchal–Malkajgiri, Telangana, 500098, India",amenity,childcare,30.0,5.36987869077137e-05,"[{""name"": ""Narapally - I, Hyderabad-Janagam Highway, Peerzadiguda, Ghatkesar mandal, Medipally mandal, Medchal\u2013Malkajgiri, Telangana, 500098, India"", ""lat"": ""17.4176115"", ""lon"": ""78.6266559""}]"
HABSIGUDA_NEREDMET,HABSIGUDA,NEREDMET,1,found,"Neredmet, Hyderabad, Telangana",3.0,17.470446,78.5360054,"Neredmet, Ward 140 Malkajgiri, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal–Malkajgiri, Telangana, 500056, India",place,suburb,19.0,0.1467350293736171,"[{""name"": ""Neredmet, Malkajagiri Road, Kakatiya Nagar, Safilguda, Ward 136 Neredmet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal\u2013Malkajgiri, Telangana, 500056, India"", ""lat"": ""17.4780888"", ""lon"": ""78.5366517""}, {""name"": ""Neredmet, Malkajgiri - Neredmet Road, Ramakrishnapuram, Neredmet, Ward 140 Malkajgiri, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Malkajgiri mandal, Medchal\u2013Malkajgiri, Telangana, 500056, India"", ""lat"": ""17.4723112"", ""lon"": ""78.5387358""}]"
HABSIGUDA_PEERJADIGUDA,HABSIGUDA,PEERJADIGUDA,1,found,"Peerjadiguda, Hyderabad, Telangana",1.0,17.4078747,78.6022666,"Urban Primary Health Centre, Peerjadiguda, Hyderabad-Janagam Highway, Boduppal, Chengicherla, Medipally mandal, Medchal–Malkajgiri, Telangana, 500098, India",amenity,clinic,30.0,5.36987869077137e-05,[]
HABSIGUDA_RAMANTHAPUR,HABSIGUDA,RAMANTHAPUR,1,found,"Ramanthapur, Hyderabad, Telangana",3.0,17.3885044,78.5371677,"Ward 9 Ramanthapur, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, India",boundary,administrative,20.0,0.1334016960402838,"[{""name"": ""ramanthapur lake, Habsiguda, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, India"", ""lat"": ""17.4018585"", ""lon"": ""78.5403825""}, {""name"": ""Ramanthapur Cheruvu, Habsiguda, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, India"", ""lat"": ""17.4016390"", ""lon"": ""78.5403749""}]"
HABSIGUDA_SAINIKPURI,HABSIGUDA,SAINIKPURI,1,found,"Sainikpuri, Hyderabad, Telangana",1.0,17.4892154,78.5424889,"Sainikpuri, Ward 1 Kapra, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500094, India",place,suburb,19.0,0.1467350293736171,[]
HABSIGUDA_UPPAL,HABSIGUDA,UPPAL,1,found,"Uppal, Hyderabad, Telangana",2.0,17.4025091,78.5612562,"Uppal, Ward 7 Chilka Nagar, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500039, India",place,suburb,19.0,0.37694663196902717,"[{""name"": ""Uppal, Inner Ring Road, Saraswati Colony, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500039, India"", ""lat"": ""17.4001610"", ""lon"": ""78.5601834""}]"
HABSIGUDA_UPPAL_BAGAYATH,HABSIGUDA,UPPAL BAGAYATH,4,not_found,,,,,,,,,,
