section_id,circle,division,subdivision,section,geocode_status,lat,lon,review_priority,flags,note,km_from_circle_centre,km_from_division_centre,query_used,alias_used,osm_name,osm_category,osm_type,osm_place_rank,n_candidates,other_candidates,flag_not_found,flag_outside_greater_hyderabad,flag_far_from_circle,flag_far_from_division,flag_too_vague,flag_shares_coordinates,flag_matched_a_building_or_road
MEDCHAL_MEDCHAL_RURAL,MEDCHAL,MEDCHAL,MEDCHAL,MEDCHAL RURAL,found,17.5381982,78.4009122,1_check_first,shares_coordinates; matched_a_building_or_road,,3.1,7.7,"Medchal, Hyderabad, Telangana",True,"Telangana Weaker Section Apartments - Dignity Homes, Ward 125 Gajularamaram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, India",landuse,residential,24.0,3.0,"[{""name"": ""TS Grammar High School, Srinivaspuram, Ramanthapur, Opposite T.V. Studio Lane, Hyderabad, Telangana 500013, Street Number 3, Srinivasapuram Colony, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500013, India"", ""lat"": ""17.3875962"", ""lon"": ""78.5309909""}, {""name"": ""Vaishnavi Olympiad School, Ganesh Nagar, Ramanthapur, Amberpet, Hyderabad, Telangana 500013, 2nd Cross B Road, Gokhale Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500013, India"", ""lat"": ""17.3953573"", ""lon"": ""78.5305516""}]",False,False,False,False,False,True,True
MEDCHAL_MEDCHAL_TOWN,MEDCHAL,MEDCHAL,MEDCHAL,MEDCHAL TOWN,found,17.5381982,78.4009122,1_check_first,shares_coordinates; matched_a_building_or_road,,3.1,7.7,"Medchal, Hyderabad, Telangana",True,"Telangana Weaker Section Apartments - Dignity Homes, Ward 125 Gajularamaram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, India",landuse,residential,24.0,3.0,"[{""name"": ""TS Grammar High School, Srinivaspuram, Ramanthapur, Opposite T.V. Studio Lane, Hyderabad, Telangana 500013, Street Number 3, Srinivasapuram Colony, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500013, India"", ""lat"": ""17.3875962"", ""lon"": ""78.5309909""}, {""name"": ""Vaishnavi Olympiad School, Ganesh Nagar, Ramanthapur, Amberpet, Hyderabad, Telangana 500013, 2nd Cross B Road, Gokhale Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500013, India"", ""lat"": ""17.3953573"", ""lon"": ""78.5305516""}]",False,False,False,False,False,True,True
MEDCHAL_SHAMEERPET,MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,found,17.5944116,78.5749818,1_check_first,far_from_circle; far_from_division; matched_a_building_or_road,,19.5,14.2,"Shameerpet, Telangana",False,"Shameerpet-I, SH1, Upparapalle, Shamirpet mandal, Medchal–Malkajgiri, Telangana, 500078, India",amenity,childcare,30.0,3.0,"[{""name"": ""Shameerpet-III, SH1, Upparapalle, Shamirpet mandal, Medchal\u2013Malkajgiri, Telangana, 500078, India"", ""lat"": ""17.5945227"", ""lon"": ""78.5710755""}, {""name"": ""Shameerpet 2, NH365B, Bachannapet, Jangoan mandal, Jangaon, Telangana, 506221, India"", ""lat"": ""17.7364666"", ""lon"": ""79.1360758""}]",False,False,True,True,False,False,True
RAJENDRA_NAGAR_HIMAYAT_SAGAR,RAJENDRA NAGAR,RAJENDRA NAGAR,RAJENDRANAGAR,HIMAYAT SAGAR,found,17.3135573,78.3572056,1_check_first,far_from_division; matched_a_building_or_road,,9.1,8.5,"Himayat Sagar, Telangana",False,"Himayat Sagar, Nagireddyguda, Moinabad mandal, Ranga Reddy, Telangana, 500058, India",water,lake,20.0,2.0,"[{""name"": ""Himayat Sagar, Moinabad mandal, Ranga Reddy, Telangana, India"", ""lat"": ""17.2822726"", ""lon"": ""78.3612566""}]",False,False,False,True,False,False,True
RAJENDRA_NAGAR_MAHESHWARAM,RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,found,17.3158544,78.4828417,1_check_first,far_from_division,,5.0,28.0,"Maheshwaram, Hyderabad, Telangana",False,"Maheshwaram Lines, Ward 42 Barkas, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bandlaguda mandal, Hyderabad, Telangana, 500005, India",place,neighbourhood,24.0,1.0,[],False,False,False,True,False,False,False
RAJENDRA_NAGAR_NANDIGAMA,RAJENDRA NAGAR,SHADNAGAR,KOTHUR,NANDIGAMA,found,17.1174082,78.2486496,1_check_first,far_from_circle; matched_a_building_or_road,,29.4,0.5,"Nandigama, Hyderabad, Telangana",False,"Nandigama police station, Old NH 7 Hyderabad Road, Mohinuddin Guda (U.I), Chandrayanguda, Nandigama mandal, Ranga Reddy, Telangana, 509216, India",amenity,police,30.0,1.0,[],False,False,True,False,False,False,True
RAJENDRA_NAGAR_PAHADISHARIFF,RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,found,17.2677334,78.4715471,1_check_first,far_from_division,,5.5,22.8,"Pahadi Shareef, Telangana",True,"Pahadi Shareef Dargah, Pahadi Sharif, Balapur mandal, Ranga Reddy, Telangana, India",place,locality,25.0,2.0,"[{""name"": ""SubCentre, Pahadi Shareef, Pahadi Shareef, Balapur mandal, Ranga Reddy, Telangana, 500005, India"", ""lat"": ""17.2711602"", ""lon"": ""78.4725134""}]",False,False,False,True,False,False,False
RAJENDRA_NAGAR_SHADNAGAR_RURAL,RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR,SHADNAGAR RURAL,found,17.0943572,78.2091059,1_check_first,far_from_circle; matched_a_building_or_road,,34.1,7.7,"Shadnagar, Hyderabad, Telangana",True,"Shadnagar Sub Station, Old NH 7 Hyderabad Road, Shadnagar, Farooqnagar mandal, Ranga Reddy, Telangana, 509216, India",building,substation,30.0,3.0,"[{""name"": ""Shadnagar 14, Old NH 7 Hyderabad Road, Shadnagar, Farooqnagar mandal, Ranga Reddy, Telangana, 509216, India"", ""lat"": ""17.0784896"", ""lon"": ""78.2031982""}, {""name"": ""SubCentre, Shadnagar(A), Old NH 7 Hyderabad Road, Shadnagar, Farooqnagar mandal, Ranga Reddy, Telangana, 509216, India"", ""lat"": ""17.0713335"", ""lon"": ""78.2051843""}]",False,False,True,False,False,False,True
RAJENDRA_NAGAR_SHAPOOR,RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAPOOR,found,18.0061198,77.6222813,1_check_first,outside_greater_hyderabad; far_from_circle; far_from_division; matched_a_building_or_road,,117.0,115.2,"Shapoor, Telangana",False,"Shapoor, Nagalgidda mandal, Sangareddy, Telangana, India",amenity,childcare,30.0,1.0,[],False,True,True,True,False,False,True
SAROORNAGAR_ABDULLAPURMET,SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,ABDULLAPURMET,found,17.3209561,78.6929681,1_check_first,far_from_division; too_vague,,14.6,15.2,"Abdullapurmet, Telangana",False,"Abdullapurmet mandal, Ranga Reddy, Telangana, India",boundary,administrative,12.0,3.0,"[{""name"": ""Abdullapurmet lake, Balijaguda, Abdullapurmet mandal, Ranga Reddy, Telangana, India"", ""lat"": ""17.3194891"", ""lon"": ""78.6844552""}, {""name"": ""Abdullapurmet Lake, Laskerguda, Abdullapurmet mandal, Ranga Reddy, Telangana, 501512, India"", ""lat"": ""17.3062228"", ""lon"": ""78.6936274""}]",False,False,False,True,True,False,False
SAROORNAGAR_ADIBATLA,SAROORNAGAR,IBRAHIMPATNAM,IBRAHIMPATNAM,ADIBATLA,found,17.230899,78.5558997,1_check_first,far_from_division; matched_a_building_or_road,,11.1,12.6,"Adibatla, Telangana",False,"Adibatla-2, Outer Ring Road, Bongulur, Ibrahimpatnam mandal, Ranga Reddy, Telangana, 501510, India",amenity,childcare,30.0,1.0,[],False,False,False,True,False,False,True
SAROORNAGAR_INJAPUR,SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,INJAPUR,found,17.2994314,78.5852848,1_check_first,far_from_division,,4.7,10.3,Injapur,False,"Injapur, Abdullapurmet mandal, Ranga Reddy, Telangana, 501511, India",place,suburb,19.0,3.0,"[{""score"": 9.15, ""km_from_expected"": 6.15, ""query"": ""Injapur, Hyderabad"", ""lat"": 17.2994798, ""lon"": 78.5820956, ""name"": ""Injapur Bus Stop, Hyderabad - Nagarjuna Sagar Road, Teachers Colony, Gurramguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Balapur mandal, Ranga Reddy, Telangana, 501510, India"", ""category"": ""amenity"", ""type"": ""bus_station"", ""place_rank"": 30}, {""score"": 9.24, ""km_from_expected"": 6.24, ""query"": ""Injapur, Hyderabad"", ""lat"": 17.298741, ""lon"": 78.582542, ""name"": ""Injapur Bus Stop (Sagar Ring Road side), Hyderabad - Nagarjuna Sagar Road, Teachers Colony, Gurramguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Balapur mandal, Ranga Reddy, Telangana, 501510, India"", ""category"": ""amenity"", ""type"": ""bus_station"", ""place_rank"": 30}, {""score"": 9.5, ""km_from_expected"": 6.5, ""query"": ""Injapur, Hyderabad"", ""lat"": 17.3055148, ""lon"": 78.5934992, ""name"": ""Injapur - II, Bank Colony Road, Hayathnagar mandal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Ranga Reddy, Telangana, 500070, India"", ""category"": ""amenity"", ""type"": ""childcare"", ""place_rank"": 30}, {""score"": 17.59, ""km_from_expected"": 9.59, ""query"": ""Injapur, Hyderabad"", ""lat"": 17.2673195, ""lon"": 78.5894413, ""name"": ""Hyderabad - Nagarjuna Sagar Road, Injapur, Abdullapurmet mandal, Ranga Reddy, Telangana, 501511, India"", ""category"": ""highway"", ""type"": ""primary"", ""place_rank"": 26}]",False,False,False,True,False,False,False
SAROORNAGAR_PEDDA_AMBERPET,SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,found,17.3172848,78.6384505,1_check_first,far_from_division; matched_a_building_or_road,,8.9,9.3,"Pedda Amberpet, Hyderabad, Telangana",False,"Pedda Amberpet - IV, Vijaywada Highway, Abdullapurmet mandal, Ranga Reddy, Telangana, 501505, India",amenity,childcare,30.0,1.0,[],False,False,False,True,False,False,True
SAROORNAGAR_TURKAYAMZAL,SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,not_found,,,1_check_first,not_found,,,,,False,,,,,,,True,False,False,False,False,False,False
SECUNDERABAD_RANGA_REDDY_NAGAR,SECUNDERABAD,BOWENPALLY,RR NAGAR,RANGA REDDY NAGAR,found,17.3262463,78.4094032,1_check_first,far_from_circle; far_from_division; matched_a_building_or_road,,18.3,16.5,"Ranga Reddy Nagar, Hyderabad, Telangana",False,"P.V. Narsimha Rao Telangana Veterinary University Administrative Office, Rajendra nagar road, Bansilal Nagar, Budvel, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana, 500030, India",amenity,university,30.0,3.0,"[{""name"": ""17, Jayabheri Pine Valley (Lane Adjacent to Care hospital),Gachibowli, Jayabheri Pine Valley, Gachibowli, Hyderabad, Telangana 500032, Telecom Nagar, Khajaguda, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500104, India"", ""lat"": ""17.4304064"", ""lon"": ""78.3707079""}, {""name"": ""simply telangana, LB Nagar Service Road, NTR Nagar, Ward 20 RK Puram, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Ranga Reddy, Telangana, 500102, India"", ""lat"": ""17.3590224"", ""lon"": ""78.5450699""}]",False,False,True,True,False,False,True
BANJARA_HILLS_BORABANDA,BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,found,17.4590687,78.4078664,2_check_if_time,matched_a_building_or_road,,3.7,4.1,"Borabanda, Hyderabad, Telangana",False,"Borabanda, Borabanda Railway station road, Allapur, Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 800081, India",railway,station,30.0,2.0,"[{""name"": ""Borabanda, Ward 103 Borabanda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4516700"", ""lon"": ""78.4154210""}]",False,False,False,False,False,False,True
BANJARA_HILLS_GREENLANDS,BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,found,17.4333179,78.4559618,2_check_if_time,matched_a_building_or_road,,3.1,2.7,"Greenlands, Hyderabad, Telangana",False,"Greenlands Road, Kundanbagh, Ameerpet, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500016, India",highway,primary,26.0,3.0,"[{""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500016, India"", ""lat"": ""17.4337701"", ""lon"": ""78.4555770""}, {""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India"", ""lat"": ""17.4303015"", ""lon"": ""78.4560806""}]",False,False,False,False,False,False,True
BANJARA_HILLS_MOTHI_NAGAR,BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,found,17.4540242,78.4259114,2_check_if_time,matched_a_building_or_road,,2.0,2.1,"Mothi Nagar, Hyderabad, Telangana",False,"don bosco school, Erragadda, Mothi Nagar, Borabanda Mothinagar road, Panduranga Rao Colony, Moosapet, Ward 101 Erragadda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500018, India",office,educational_institution,30.0,2.0,"[{""name"": ""Mothi Nagar Community Hall, Moti Nagar Main road, Panduranga Rao Colony, Moosapet, Ward 117 Moosapet, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4547202"", ""lon"": ""78.4229318""}]",False,False,False,False,False,False,True
BANJARA_HILLS_SANATHNAGAR,BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,found,17.4569654,78.4434781,2_check_if_time,matched_a_building_or_road,,2.6,1.1,"Sanathnagar, Hyderabad, Telangana",False,"Sanathnagar Industrial Estate Park, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, India",leisure,park,24.0,2.0,"[{""name"": ""Sanathnagar Swimming Pool, SRT, Ward 100 Sanath Nagar, Fateh Nagar, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500042, India"", ""lat"": ""17.4542182"", ""lon"": ""78.4454956""}]",False,False,False,False,False,False,True
BANJARA_HILLS_SANJEEV_REDDY_NAGAR,BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,found,17.4400655,78.4456034,2_check_if_time,matched_a_building_or_road,,1.9,1.4,"Sanjeev Reddy Nagar, Hyderabad, Telangana",False,"Sanjeev Reddy Nagar Police Station, Street 6, Srinivas Nagar, SR Nagar, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500038, India",amenity,police,30.0,1.0,[],False,False,False,False,False,False,True
BANJARA_HILLS_YELLA_REDDY_GUDA,BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,found,17.4349108,78.4378621,2_check_if_time,matched_a_building_or_road,,1.2,2.2,"Yella Reddy Guda, Hyderabad, Telangana",False,"Global kids international school, Jaya Prakash Nagar, Imam Guda, Padala Ramareddy Colony, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India",amenity,university,30.0,2.0,"[{""name"": ""Radiant High School, Sai Srinivasa Residency, opposite, Yella Reddy Guda Rd, Behind P.R.R.Law College, Imam Guda, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India"", ""lat"": ""17.4348241"", ""lon"": ""78.4396290""}]",False,False,False,False,False,False,True
CYBERCITY_CHANDA_NAGAR,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,found,17.4534764,78.3943669,2_check_if_time,matched_a_building_or_road,,3.3,5.6,"Chanda Nagar, Hyderabad, Telangana",False,"FinTown, 2 nd floor plot no-658, Survey of India Colony Chanda Naik Nagar, HITEC City, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India",landuse,commercial,24.0,3.0,"[{""name"": ""Chanda Nagar Police Station, Chandanagar - RC Puram BHEL Rd Mumbai Highway, Gowtami Nagar Colony, Ward 110 Chandanagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500050, India"", ""lat"": ""17.4962433"", ""lon"": ""78.3249086""}, {""name"": ""sharada vidyaniketan, 1764, Papireddy Nagar, Chanda Nagar, Hyderabad, Telangana 500050, Diamonds block walkway, Aarambh Township, Chandanagar, Lingampally, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500019, India"", ""lat"": ""17.4832930"", ""lon"": ""78.3300281""}]",False,False,False,False,False,False,True
CYBERCITY_MOKILA,CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,found,17.4263216,78.1880987,2_check_if_time,far_from_circle; far_from_division,far from neighbours but matched a real town/village of that name - probably an outlying section,19.4,18.6,"Mokila, Telangana",False,"Mokila, Shankarpalle mandal, Ranga Reddy, Telangana, India",place,village,19.0,1.0,[],False,False,True,True,False,False,False
CYBERCITY_SHANKAR_PALLY,CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,found,17.4531904,78.1320742,2_check_if_time,far_from_circle; far_from_division,far from neighbours but matched a real town/village of that name - probably an outlying section,25.1,25.1,Shankarpalli,True,"Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India",place,village,19.0,,"[{""score"": 27.9, ""km_from_expected"": 24.9, ""query"": ""Shankarpally"", ""lat"": 17.455813, ""lon"": 78.1311217, ""name"": ""Bus stand SHANKARPALLY, Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""amenity"", ""type"": ""bus_station"", ""place_rank"": 30}, {""score"": 27.95, ""km_from_expected"": 24.95, ""query"": ""Shankarpalli"", ""lat"": 17.4505553, ""lon"": 78.1307931, ""name"": ""Shankarpalli, Shankarpalli Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""railway"", ""type"": ""station"", ""place_rank"": 30}, {""score"": 32.92, ""km_from_expected"": 24.92, ""query"": ""Shankarpally"", ""lat"": 17.4567289, ""lon"": 78.1310146, ""name"": ""Government Homoeo Dispenary, Shankarpally (NRHM), Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""amenity"", ""type"": ""doctors"", ""place_rank"": 30}, {""score"": 33.0, ""km_from_expected"": 25.0, ""query"": ""Shankarpally"", ""lat"": 17.4561596, ""lon"": 78.1302488, ""name"": ""Primary Health Centre, Shankarpally, Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Vikarabad, Telangana, 501203, India"", ""category"": ""amenity"", ""type"": ""clinic"", ""place_rank"": 30}]",False,False,True,True,False,False,False
